timestamp,pleth
2020-01-01 12:00:03.360,1686
2020-01-01 12:00:03.368,1669
2020-01-01 12:00:03.376,1651
2020-01-01 12:00:03.384,1634
2020-01-01 12:00:03.392,1617
2020-01-01 12:00:03.400,1600
2020-01-01 12:00:03.408,1583
2020-01-01 12:00:03.416,1569
2020-01-01 12:00:03.424,1556
2020-01-01 12:00:03.432,1541
2020-01-01 12:00:03.440,1530
2020-01-01 12:00:03.448,1520
2020-01-01 12:00:03.456,1507
2020-01-01 12:00:03.464,1493
2020-01-01 12:00:03.472,1479
2020-01-01 12:00:03.480,1466
2020-01-01 12:00:03.488,1453
2020-01-01 12:00:03.496,1441
2020-01-01 12:00:03.504,1430
2020-01-01 12:00:03.512,1422
2020-01-01 12:00:03.520,1416
2020-01-01 12:00:03.528,1413
2020-01-01 12:00:03.536,1418
2020-01-01 12:00:03.544,1432
2020-01-01 12:00:03.552,1457
2020-01-01 12:00:03.560,1500
2020-01-01 12:00:03.568,1564
2020-01-01 12:00:03.576,1650
2020-01-01 12:00:03.584,1756
2020-01-01 12:00:03.592,1878
2020-01-01 12:00:03.600,2009
2020-01-01 12:00:03.608,2146
2020-01-01 12:00:03.616,2281
2020-01-01 12:00:03.624,2410
2020-01-01 12:00:03.632,2532
2020-01-01 12:00:03.640,2629
2020-01-01 12:00:03.648,2708
2020-01-01 12:00:03.656,2789
2020-01-01 12:00:03.664,2863
2020-01-01 12:00:03.672,2927
2020-01-01 12:00:03.680,2980
2020-01-01 12:00:03.688,3020
2020-01-01 12:00:03.696,3048
2020-01-01 12:00:03.704,3066
2020-01-01 12:00:03.712,3075
2020-01-01 12:00:03.720,3076
2020-01-01 12:00:03.728,3070
2020-01-01 12:00:03.736,3059
2020-01-01 12:00:03.744,3042
2020-01-01 12:00:03.752,3017
2020-01-01 12:00:03.760,2984
2020-01-01 12:00:03.768,2942
2020-01-01 12:00:03.776,2890
2020-01-01 12:00:03.784,2828
2020-01-01 12:00:03.792,2758
2020-01-01 12:00:03.800,2683
2020-01-01 12:00:03.808,2605
2020-01-01 12:00:03.816,2527
2020-01-01 12:00:03.824,2453
2020-01-01 12:00:03.832,2385
2020-01-01 12:00:03.840,2329
2020-01-01 12:00:03.848,2281
2020-01-01 12:00:03.856,2236
2020-01-01 12:00:03.864,2196
2020-01-01 12:00:03.872,2161
2020-01-01 12:00:03.880,2131
2020-01-01 12:00:03.888,2106
2020-01-01 12:00:03.896,2085
2020-01-01 12:00:03.904,2066
2020-01-01 12:00:03.912,2046
2020-01-01 12:00:03.920,2026
2020-01-01 12:00:03.928,2005
2020-01-01 12:00:03.936,1984
2020-01-01 12:00:03.944,1967
2020-01-01 12:00:03.952,1952
2020-01-01 12:00:03.960,1932
2020-01-01 12:00:03.968,1908
2020-01-01 12:00:03.976,1883
2020-01-01 12:00:03.984,1860
2020-01-01 12:00:03.992,1837
2020-01-01 12:00:04.000,1816
2020-01-01 12:00:04.008,1796
2020-01-01 12:00:04.016,1776
2020-01-01 12:00:04.024,1756
2020-01-01 12:00:04.032,1736
2020-01-01 12:00:04.040,1720
2020-01-01 12:00:04.048,1706
2020-01-01 12:00:04.056,1689
2020-01-01 12:00:04.064,1671
2020-01-01 12:00:04.072,1652
2020-01-01 12:00:04.080,1632
2020-01-01 12:00:04.088,1612
2020-01-01 12:00:04.096,1593
2020-01-01 12:00:04.104,1576
2020-01-01 12:00:04.112,1559
2020-01-01 12:00:04.120,1544
2020-01-01 12:00:04.128,1530
2020-01-01 12:00:04.136,1518
2020-01-01 12:00:04.144,1510
2020-01-01 12:00:04.152,1503
2020-01-01 12:00:04.160,1494
2020-01-01 12:00:04.168,1484
2020-01-01 12:00:04.176,1474
2020-01-01 12:00:04.184,1464
2020-01-01 12:00:04.192,1456
2020-01-01 12:00:04.200,1449
2020-01-01 12:00:04.208,1442
2020-01-01 12:00:04.216,1435
2020-01-01 12:00:04.224,1427
2020-01-01 12:00:04.232,1419
2020-01-01 12:00:04.240,1415
2020-01-01 12:00:04.248,1412
2020-01-01 12:00:04.256,1405
2020-01-01 12:00:04.264,1395
2020-01-01 12:00:04.272,1386
2020-01-01 12:00:04.280,1378
2020-01-01 12:00:04.288,1368
2020-01-01 12:00:04.296,1358
2020-01-01 12:00:04.304,1349
2020-01-01 12:00:04.312,1340
2020-01-01 12:00:04.320,1333
2020-01-01 12:00:04.328,1327
2020-01-01 12:00:04.336,1321
2020-01-01 12:00:04.344,1318
2020-01-01 12:00:04.352,1318
2020-01-01 12:00:04.360,1316
2020-01-01 12:00:04.368,1314
2020-01-01 12:00:04.376,1315
2020-01-01 12:00:04.384,1321
2020-01-01 12:00:04.392,1337
2020-01-01 12:00:04.400,1369
2020-01-01 12:00:04.408,1422
2020-01-01 12:00:04.416,1497
2020-01-01 12:00:04.424,1595
2020-01-01 12:00:04.432,1713
2020-01-01 12:00:04.440,1826
2020-01-01 12:00:04.448,1941
2020-01-01 12:00:04.456,2079
2020-01-01 12:00:04.464,2226
2020-01-01 12:00:04.472,2372
2020-01-01 12:00:04.480,2511
2020-01-01 12:00:04.488,2638
2020-01-01 12:00:04.496,2753
2020-01-01 12:00:04.504,2854
2020-01-01 12:00:04.512,2941
2020-01-01 12:00:04.520,3014
2020-01-01 12:00:04.528,3072
2020-01-01 12:00:04.536,3119
2020-01-01 12:00:04.544,3150
2020-01-01 12:00:04.552,3167
2020-01-01 12:00:04.560,3180
2020-01-01 12:00:04.568,3186
2020-01-01 12:00:04.576,3186
2020-01-01 12:00:04.584,3180
2020-01-01 12:00:04.592,3166
2020-01-01 12:00:04.600,3142
2020-01-01 12:00:04.608,3109
2020-01-01 12:00:04.616,3068
2020-01-01 12:00:04.624,3017
2020-01-01 12:00:04.632,2956
2020-01-01 12:00:04.640,2756
2020-01-01 12:00:04.648,2492
2020-01-01 12:00:04.656,2329
2020-01-01 12:00:04.664,2216
2020-01-01 12:00:04.672,2129
2020-01-01 12:00:04.680,2057
2020-01-01 12:00:04.688,1995
